Created - 22:38:32.224182: Large marble: Hercules, marbles: Rose Dust, Orange Soda, Mulberry, Middle Green, Neon Pink, Cotton Candy, Black Coral
Created - 22:38:32.335283: Large marble: Hercules, marbles: Liver Chestnut, Orange Peel, Green, Shandy, Sheen Green, Brink Pink, Big Dip O’ruby
Created - 22:38:32.446364: Large marble: Winner, marbles: Purple, Thulian Pink, Honeydew, Orange Peel, Silver Chalice, Lumber, Pale Plum
Created - 22:38:32.557456: Large marble: Apollo, marbles: Ivory, Pale Plum, Neon Silver, Lumber, Dark Fuchsia, Russian Violet, Ivory
Created - 22:38:32.667362: Large marble: 5-Star, marbles: Tuscan Brown, Mode Beige, Icterine, Orange Soda, Neon Pink, Cotton Candy, Silver Pink
Created - 22:38:32.777455: Large marble: Hercules, marbles: Orange Peel, Isabelline, Neon Dark Green, Mango Tango, Auburn, Chinese Red, Honeydew
Created - 22:38:32.888558: Large marble: Apollo, marbles: Blue-Green, Antique Bronze, Spanish Carmine, Middle Red Purple, Lilac Luster, Pale Plum, Fiery Rose
Created - 22:38:32.997043: Large marble: Winner, marbles: Mimi Pink, Blue, Big Dip O’ruby, Royal Blue, Bistre Brown, Golden Yellow, Auburn
Created - 22:38:33.108184: Large marble: Apollo, marbles: Sage, Mulberry, Lilac Luster, Vegas Gold, Purple, Safety Yellow, Antique Brass
Created - 22:38:33.217429: Large marble: Winner, marbles: Tuscan Brown, Pale Cerulean, Lavender Blue, Duke Blue, Eerie Black, Slate Blue, Golden Yellow
Created - 22:38:33.328020: Large marble: 5-Star, marbles: Slate Blue, Light Orchid, Auburn, Silver Chalice, Purple Plum, Brink Pink, Honeydew
Created - 22:38:33.438751: Large marble: 5-Star, marbles: Rose Dust, Royal Blue, Duke Blue, Terra Cotta, Spanish Carmine, Cotton Candy, Candy Pink
Created - 22:38:33.549071: Large marble: Spinner, marbles: Brink Pink, Pale Cerulean, Maximum Blue, Maximum Blue, Neon Dark Green, Cobalt Blue, Fiery Rose
Created - 22:38:33.660992: Large marble: Sure Shot, marbles: Middle Green Yellow, Royal Red, Pale Plum, Purple Plum, Sheen Green, Pale Cerulean, Spanish Carmine
Created - 22:38:33.771317: Large marble: Apollo, marbles: Royal Orange, Orange Soda, Pale Taupe, Mint Green, Gold, Big Dip O’ruby, Fiery Rose
Created - 22:38:33.880666: Large marble: Lucky, marbles: Mint Green, Middle Green Yellow, Eerie Black, Cotton Candy, Safety Yellow, Auburn, Mint Cream
Created - 22:38:33.989875: Large marble: Apollo, marbles: Pale Taupe, Pale Goldenrod, Zomp, Almond, Sheen Green, Green, Pale Cerulean
Created - 22:38:34.099206: Large marble: Apollo, marbles: Antique Bronze, Bistre Brown, Lilac Luster, Pastel Gray, Maximum Blue, Fiery Rose, Outrageous Orange
Created - 22:38:34.208204: Large marble: Zeus, marbles: Isabelline, Golden Yellow, Green, Pale Taupe, Purple, Light Orchid, Maximum Purple
Created - 22:38:34.319353: Large marble: Winner, marbles: Middle Green Yellow, Middle Green Yellow, Ruby, Candy Pink, Middle Red Purple, Gold, Pastel Gray
Created - 22:38:34.428168: Large marble: 5-Star, marbles: Ruby, Mint Cream, Terra Cotta, Bistre Brown, Isabelline, Cobalt Blue, Silver Pink
Created - 22:38:34.538697: Large marble: Sure Shot, marbles: Mint Cream, Chinese Red, Auburn, Green, Silver Chalice, Pale Plum, Shandy
Created - 22:38:34.649339: Large marble: Zeus, marbles: Lilac Luster, Beaver, Safety Yellow, Duke Blue, Bistre Brown, Indigo, Pastel Gray
Created - 22:38:34.760055: Large marble: Winner, marbles: Auburn, Big Dip O’ruby, Lavender Blue, Beaver, Blue Bell, Mimi Pink, Cobalt Blue
Created - 22:38:34.871156: Large marble: Hercules, marbles: Liver Chestnut, Outrageous Orange, Blue, Antique Bronze, Rose Quartz, Arylide Yellow, Terra Cotta
Created - 22:38:34.982257: Large marble: Sure Shot, marbles: Fiery Rose, Gold, Duke Blue, Pale Taupe, Slate Blue, Black Coral, Honeydew
Created - 22:38:35.093358: Large marble: Zeus, marbles: Duke Blue, Terra Cotta, Silver Chalice, Isabelline, Granny Smith Apple, Blue-Green, Slate Blue
Created - 22:38:35.203665: Large marble: 5-Star, marbles: Neon Silver, Golden Yellow, Black Coral, Stop Red, Orange Soda, Pale Taupe, Mint Cream
Created - 22:38:35.313132: Large marble: 5-Star, marbles: Emerald, Tuscan Brown, Middle Green, Green, Slate Blue, Silver Pink, Green
Created - 22:38:35.424169: Large marble: Hercules, marbles: Mimi Pink, Lumber, Antique Bronze, Slate Blue, Silver Pink, Royal Orange, Brink Pink
Created - 22:38:35.534547: Large marble: Apollo, marbles: Ruby, Middle Green, Zomp, Dark Fuchsia, Royal Red, Big Dip O’ruby, Mint Cream
Created - 22:38:35.645206: Large marble: Lucky, marbles: Mint Green, Russian Green, Sage, Pale Plum, Middle Green Yellow, Maximum Blue, Pale Cerulean
Created - 22:38:35.755461: Large marble: Sure Shot, marbles: Beaver, Safety Yellow, Mimi Pink, Tuscan Brown, White Smoke, Platinum, Lemon Lime
Created - 22:38:35.866148: Large marble: Lucky, marbles: Maximum Blue, Light Orchid, Black Coral, Zomp, Sheen Green, Maximum Purple, Neon Silver
Created - 22:38:35.974773: Large marble: 5-Star, marbles: Emerald, Royal Red, Auburn, Platinum, Light Orange, Silver Pink, Silver Chalice
Created - 22:38:36.086024: Large marble: Winner, marbles: Stop Red, Blue, Venetian Red, Silver Pink, Granny Smith Apple, Neon Dark Green, Zomp
Created - 22:38:36.197127: Large marble: Big Joe, marbles: Chinese Red, Antique Bronze, Pastel Blue, Orange Peel, Ivory, Pastel Gray, Pastel Gray
Created - 22:38:36.308228: Large marble: Big Joe, marbles: Russian Violet, Slate Blue, Orange Soda, Bistre Brown, Black Coral, Thulian Pink, Spanish Pink
Created - 22:38:36.418063: Large marble: Big Joe, marbles: Cotton Candy, Mango Tango, Silver Chalice, Mint Cream, Silver Pink, Lavender Purple, Shandy
Created - 22:38:36.529164: Large marble: Hercules, marbles: Light Orange, Royal Orange, Orange Soda, Ivory, Auburn, Terra Cotta, Ruby
Created - 22:38:36.639265: Large marble: Winner, marbles: Maximum Blue, Brink Pink, Light Orange, Isabelline, White Smoke, Big Dip O’ruby, Almond
Created - 22:38:36.750178: Large marble: Zeus, marbles: Dark Moss Green, Slate Blue, Lavender Purple, Beaver, Royal Orange, Lavender Blue, Spanish Orange
Created - 22:38:36.860278: Large marble: 5-Star, marbles: Rose Quartz, Sage, Cobalt Blue, White Smoke, Spanish Carmine, Orange Soda, Lumber
Created - 22:38:36.971379: Large marble: Lucky, marbles: Icterine, Outrageous Orange, Pale Cerulean, Emerald, Middle Green Yellow, Lavender Blue, Slate Blue
Created - 22:38:37.081479: Large marble: Spinner, marbles: Duke Blue, Granny Smith Apple, Duke Blue, Spanish Pink, Light Orange, Orange Soda, Neon Silver
Created - 22:38:37.190467: Large marble: Sure Shot, marbles: Arylide Yellow, Neon Pink, Neon Dark Green, Safety Yellow, Candy Pink, Rose Dust, Mimi Pink
Created - 22:38:37.299195: Large marble: Lucky, marbles: Ivory, Eerie Black, Pale Plum, Bistre Brown, Icterine, Neon Silver, Rose Quartz
Created - 22:38:37.406292: Large marble: Winner, marbles: Candy Pink, Fiery Rose, Golden Yellow, Granny Smith Apple, Mint Cream, Big Dip O’ruby, Russian Green
Created - 22:38:37.515391: Large marble: Hercules, marbles: Pastel Blue, Russian Violet, Stop Red, Lumber, Brown, Eerie Black, Shandy
Created - 22:38:37.624498: Large marble: Lucky, marbles: Almond, Zomp, Antique Brass, Russian Green, Shandy, Lavender Blue, Neon Silver
Created - 22:38:37.735704: Large marble: Hercules, marbles: Pale Cerulean, Lilac Luster, Neon Pink, Slate Blue, Spanish Carmine, Rose Dust, Neon Pink
Created - 22:38:37.846806: Large marble: Hercules, marbles: Lemon Lime, Liver Chestnut, Lilac Luster, Slate Blue, White Smoke, Light Orchid, Lavender Blue
Created - 22:38:37.956043: Large marble: Zeus, marbles: Light Orchid, Beaver, Rose Quartz, Mimi Pink, Spanish Pink, Orange Soda, Spanish Pink
Created - 22:38:38.066472: Large marble: Spinner, marbles: Brink Pink, Golden Yellow, Cobalt Blue, Emerald, Orange Peel, Russian Violet, Lumber
Created - 22:38:38.176179: Large marble: Lucky, marbles: Middle Green, Shandy, Lavender Purple, Lavender Blue, Lemon Lime, Neon Pink, Vegas Gold
Created - 22:38:38.287809: Large marble: Zeus, marbles: Big Dip O’ruby, Neon Pink, Lavender Purple, Icterine, Cotton Candy, Vegas Gold, Almond
Created - 22:38:38.397177: Large marble: Spinner, marbles: Maximum Violet, Antique Brass, Venetian Red, Honeydew, Antique Brass, Spanish Orange, Gold
Created - 22:38:38.506276: Large marble: Hercules, marbles: Pale Cerulean, Honeydew, Green, Tuscan Brown, Mulberry, Ruby, Maximum Violet
Created - 22:38:38.615422: Large marble: Sure Shot, marbles: Indigo, Big Dip O’ruby, Mulberry, Honeydew, Royal Blue, Bistre Brown, Brink Pink
Created - 22:38:38.726523: Large marble: Lucky, marbles: Royal Orange, Gold, Spanish Carmine, Liver Chestnut, Russian Violet, Orange Peel, Safety Yellow
